Direction,Cmd,Meaning,Notes
PI_ESP,S,PING*,System ping,
ESP_PI,S,OK*,Ping ack,
PI_ESP,C,TARE*,Tare loadcell,
ESP_PI,C,TARE,OK*,Tare done,
PI_ESP,C,LOAD*,Start load calibration,
ESP_PI,C,LOAD,OK*,Load cal success,
ESP_PI,C,LOAD,ERR*,Load cal fail,
PI_ESP,C,DZ*,Distance zero,
ESP_PI,C,DZ,OK,1234*,Dist zero ok, pulses in col3
ESP_PI,C,DZ,ERR*,Dist zero fail,
PI_ESP,C,DS*,Distance span,
ESP_PI,C,DS,OK,1.234*,Dist span ok, PPM in col3
ESP_PI,C,DS,ERR*,Dist span fail,
PI_ESP,T,BO,12.5*,Backoff mm in col3,
ESP_PI,T,BO,OK*,Backoff done,
PI_ESP,T,DIM*,Dimension test,
ESP_PI,D,DIM,2.500*,Dimension result, mm in col3
PI_ESP,T,HARD*,Hardness test,
ESP_PI,D,HARD,45.2,MAX*,Hardness N max,
ESP_PI,D,HARD,45.2,BROK*,Hardness tablet broken,
PI_ESP,T,HOME*,Home axis,
ESP_PI,T,HOME,OK*,Home done,
PI_ESP,V,L,1*,Load validation start,
PI_ESP,V,L,0*,Load validation stop,
ESP_PI,V,L,1*,Val start ack,
ESP_PI,V,L,0*,Val stop ack,
ESP_PI,V,L,G,123.45*,Load validation gram stream,
ESP_PI,V,L,G,ERR*,Load validation error,
ESP_PI,E,UNK*,Unknown command,
